obsname,tstart,tstop,source_J,bkg_rms_J,bkg_max_J
20240407,09:10:29,20:19:49,8.37613115436398E-05,2.42581847855207E-05,0.000166891259141266
20240421,08:39:19,16:41:39,0.000188634105143137,2.78160286975544E-05,0.000130094238556921
20240426,08:45:59,19:35:49,0.0002375668118475,2.38228222209829E-05,0.000125953782116994
20240428,13:03:49,18:10:19,0.00011724002979463,5.22171537183564E-05,0.000173549895407632
20240505,13:13:49,18:39:59,0.000273308716714382,3.26312457108253E-05,0.000150855485117063
20240511,06:59:59,18:14:59,0.000381594290956855,2.28425126776786E-05,0.000123990364954807
20240515,06:37:29,17:54:19,0.000206522454391234,2.152824137714E-05,0.000107684740214609
20240531,05:24:09,16:35:09,8.40222055558115E-05,1.71360916887189E-05,7.96337408246472E-05
20240611,06:09:39,12:13:59,0.000982831930741668,2.07672465896627E-05,0.000121453282190487
20240614,04:28:29,15:48:49,0.000331254355842248,1.53547641670144E-05,0.000115534843644127
20240619,04:59:39,15:44:09,0.000292541517410427,1.74541459942918E-05,0.000104208680568263
20240626,03:48:39,15:12:39,0.000361414335202426,1.4236980645727E-05,0.000112497931695543
20240704,02:22:49,14:03:59,0.000189281505299732,1.6201855399426E-05,0.000126154802273959
20240715,01:44:19,13:12:59,0.00011669188097585,1.64353498466928E-05,0.00012450065696612
