obsname,num,source_J,bkg_rms_J,tstart,date,time,datetime,jd,source_J_val,phase,rot_phase
20240614,4,0.0003874903777614,7.923892721063598e-05,04:28:29,2024-06-14,04:28:29,2024-06-14 04:28:29,2460475.6864467594,True,0.9373136744175207,0.7539955881868259
20240614,5,0.0003472286334726,5.064707351157984e-05,04:28:29,2024-06-14,05:28:29,2024-06-14 05:28:29,2460475.728113426,True,0.943300717074603,0.7834524043843841
20240614,6,0.0003328183083795,4.444274268467103e-05,04:28:29,2024-06-14,06:28:29,2024-06-14 06:28:29,2460475.7697800924,True,0.9492877597316852,0.8129092205819425
20240614,7,0.0003160955384373,4.307254760540755e-05,04:28:29,2024-06-14,07:28:29,2024-06-14 07:28:29,2460475.8114467594,True,0.9552748024556779,0.8423660371087064
20240614,8,0.000401100871386,4.36021326916164e-05,04:28:29,2024-06-14,08:28:29,2024-06-14 08:28:29,2460475.853113426,True,0.9612618451127601,0.8718228533062646
20240614,9,0.0003306022263132,4.76259882471753e-05,04:28:29,2024-06-14,09:28:29,2024-06-14 09:28:29,2460475.8947800924,True,0.9672488877698423,0.901279669503823
20240614,10,0.0002181027084589,6.392162392451008e-05,04:28:29,2024-06-14,10:28:29,2024-06-14 10:28:29,2460475.9364467594,False,0.9732359304938349,0.9307364860305869
20240614,11,0.0002592072123661,4.266244421107886e-05,04:28:29,2024-06-14,11:28:29,2024-06-14 11:28:29,2460475.978113426,True,0.9792229731509172,0.9601933022281451
20240614,12,0.0002732678549364,4.242914881925119e-05,04:28:29,2024-06-14,12:28:29,2024-06-14 12:28:29,2460476.0197800924,True,0.9852100158079995,0.9896501184257035
20240614,13,0.0002737384056672,4.345639270739716e-05,04:28:29,2024-06-14,13:28:29,2024-06-14 13:28:29,2460476.0614467594,True,0.9911970585319921,0.019106934952467385
20240614,14,0.000425222562626,7.07741053877294e-05,04:28:29,2024-06-14,14:28:29,2024-06-14 14:28:29,2460476.103113426,True,0.9971841011890744,0.048563751150025695
20240505,13,0.0002156300324713,0.0001126786079453,13:13:49,2024-05-05,13:13:49,2024-05-05 13:13:49,2460436.051261574,False,0.24217258697579414,0.733362724733874
20240505,14,0.0003899540170095,8.94843389487643e-05,13:13:49,2024-05-05,14:13:49,2024-05-05 14:13:49,2460436.0929282405,True,0.24815962963287636,0.7628195409314322
20240505,15,0.0002345073298783,6.189896567639251e-05,13:13:49,2024-05-05,15:13:49,2024-05-05 15:13:49,2460436.1345949075,False,0.254146672356869,0.7922763574581961
20240505,16,0.0003825542808044,6.797980900467692e-05,13:13:49,2024-05-05,16:13:49,2024-05-05 16:13:49,2460436.176261574,True,0.26013371501395127,0.8217331736557545
20240505,17,0.0003543344209901,6.821177458920525e-05,13:13:49,2024-05-05,17:13:49,2024-05-05 17:13:49,2460436.2179282405,True,0.2661207576710335,0.8511899898533127
20240511,6,0.0004993805196136,7.076750053661257e-05,06:59:59,2024-05-11,06:59:59,2024-05-11 06:59:59,2460441.7916550925,True,0.06700413077300306,0.7916119424576119
20240511,7,0.0006862494046799,5.664121414363866e-05,06:59:59,2024-05-11,07:59:59,2024-05-11 07:59:59,2460441.8333217595,True,0.07299117349699571,0.8210687589843758
20240511,8,0.0005659495363943,7.453117345602124e-05,06:59:59,2024-05-11,08:59:59,2024-05-11 08:59:59,2460441.874988426,True,0.07897821615407795,0.8505255751819341
20240511,9,0.0005402727983891,9.5775396218023e-05,06:59:59,2024-05-11,09:59:59,2024-05-11 09:59:59,2460441.9166550925,True,0.0849652588111602,0.8799823913794924
20240511,10,0.000453913322417,9.181521649995878e-05,06:59:59,2024-05-11,10:59:59,2024-05-11 10:59:59,2460441.9583217595,True,0.09095230153515285,0.9094392079062563
20240511,11,0.0003678966022562,6.542863141958147e-05,06:59:59,2024-05-11,11:59:59,2024-05-11 11:59:59,2460441.999988426,True,0.09693934419223509,0.9388960241038147
20240511,12,0.0002687429368961,0.0001434993639344,06:59:59,2024-05-11,12:59:59,2024-05-11 12:59:59,2460442.0416550925,False,0.10292638684931733,0.9683528403013729
20240511,13,0.000349994021235,0.000116117903111,06:59:59,2024-05-11,13:59:59,2024-05-11 13:59:59,2460442.0833217595,False,0.10891342957330999,0.9978096568281368
20240511,14,0.0002647613291628,6.268243300489437e-05,06:59:59,2024-05-11,14:59:59,2024-05-11 14:59:59,2460442.124988426,True,0.11490047223039222,0.027266473025695147
20240511,15,0.0002001688699238,5.679076722470767e-05,06:59:59,2024-05-11,15:59:59,2024-05-11 15:59:59,2460442.1666550925,False,0.12088751488747447,0.05672328922325346
20240511,16,0.000128386032884,6.662744087326228e-05,06:59:59,2024-05-11,16:59:59,2024-05-11 16:59:59,2460442.2083217595,False,0.12687455761146713,0.08618010575001735
20240511,17,0.000445284647867,0.0001363961672479,06:59:59,2024-05-11,17:59:59,2024-05-11 17:59:59,2460442.249988426,False,0.13286160026854937,0.11563692194757566
20240704,2,0.0002214934502262,0.0001294615564716,02:22:49,2024-07-04,02:22:49,2024-07-04 02:22:49,2460495.5991782406,False,0.7985546322109643,0.8315717502584937
