mission,t_peak_BJD,rel_amp,mean_bol_energy,std_bol_energy,orb_phase
CHEOPS,2460392.78916639,0.048236409453152954,7.3469634925132e+35,6.1251954131614e+34,0.025884340576283194
CHEOPS,2460400.002961,0.011970439863438369,7.61955709488628e+34,6.83827185692901e+33,0.06242744962531788
CHEOPS,2460455.63734334,0.0033374630421452844,1.4250751289889e+34,2.55910464260633e+33,0.056477565903634286
CHEOPS,2460413.18126275,0.002165348091813726,1.73015760419892e+33,3.03823710428448e+32,0.9560047701142196
TESS,2458608.289649179,0.005268289265011682,4.2266922389002585e+34,4.506064420636456e+33,0.6128898393599158
TESS,2458609.676414037,0.011121704858733752,5.576739881039758e+34,5.144597152810096e+33,0.8121527287349721
TESS,2459334.890366689,0.010046967566255977,1.6932143059224007e+35,2.8181217284498176e+34,0.017437997818547046
TESS,2459334.981082808,0.023589092585216055,2.8999036907648253e+35,3.251507320790905e+34,0.030472908502460427
TESS,2459335.1730143265,0.005956821403114482,7.569194304852998e+34,2.1707781271375235e+34,0.058051361094712206
TESS,2459342.013859363,0.007909076506040322,3.752103726069704e+34,3.834743972916583e+33,0.041005709787057754
TESS,2460042.7573981164,0.0045121012974320435,1.9856559053408549e+34,3.106459889848019e+33,0.7301610815042636
TESS,2460044.2818524004,0.004719033685436361,3.2456735899695427e+34,3.7230808438660814e+33,0.9492084301693069
TESS,2460045.424415598,0.0027119831738079982,1.025323629839575e+34,2.0839997867614864e+33,0.11338222126278197
TESS,2460052.9905257043,0.0039049433369149934,2.0061067041607689e+34,2.51246000722639e+33,0.200549200206666
TESS,2460059.6084884005,0.049131648439970414,3.575542143749454e+35,3.102293923291075e+34,0.1514778029012973
TESS,2460065.8291325993,0.004024815173735677,1.6201149575410254e+34,2.475630539535035e+33,0.045316098380425274
