Mission,Orb. phase,Exposure time [s]
CHEOPS,1.1790135028964153e-05,10
CHEOPS,1.3439635284379037e-05,10
TESS,2.105309146647142e-05,120
CHEOPS,2.8462537943234184e-05,10
CHEOPS,3.0112506571561278e-05,10
TESS,3.786382810192569e-05,120
CHEOPS,4.513346882835156e-05,10
CHEOPS,4.678531094832749e-05,10
CHEOPS,6.180600556345365e-05,10
CHEOPS,6.345657638552501e-05,10
CHEOPS,7.847860920897178e-05,10
CHEOPS,8.012951458312328e-05,10
TESS,8.448054036070404e-05,120
TESS,9.407852253965273e-05,120
CHEOPS,9.514947318367312e-05,10
CHEOPS,9.680238587030553e-05,10
TESS,0.00011093180898789563,120
CHEOPS,0.00011182200991877521,10
CHEOPS,0.00011347365130750305,10
CHEOPS,0.00012849287389347656,10
CHEOPS,0.00013014645568426927,10
TESS,0.00013795038114135515,120
TESS,0.0001442260182021951,120
CHEOPS,0.00014516547753899467,10
CHEOPS,0.00014681772112146678,10
CHEOPS,0.00016183808118451278,10
CHEOPS,0.00016349059240864904,10
TESS,0.0001666876987029051,120
CHEOPS,0.00017850887824879811,10
TESS,0.00017945968039581765,120
CHEOPS,0.000180165136456232,10
TESS,0.00018077825407327016,120
CHEOPS,0.0001951814149839002,10
CHEOPS,0.0001968363349830135,10
CHEOPS,0.0002118539517190023,10
CHEOPS,0.00021350927318061178,10
TESS,0.00022062739155283422,120
CHEOPS,0.00022852488260411967,10
CHEOPS,0.00023018214446779404,10
TESS,0.00023743290917583817,120
CHEOPS,0.0002451973524288057,10
CHEOPS,0.0002468533429945755,10
CHEOPS,0.0002618716288347246,10
CHEOPS,0.0002635262811921738,10
CHEOPS,0.0002785424928094259,10
CHEOPS,0.00028019908556894003,10
TESS,0.00028405343532833023,120
TESS,0.0002936434551677713,120
CHEOPS,0.00029521509645494406,10
CHEOPS,0.00029687035100613754,10
TESS,0.0003104999533159837,120
CHEOPS,0.0003118858935192294,10
CHEOPS,0.0003135432892037358,10
CHEOPS,0.0003285584971647475,10
CHEOPS,0.00033021442082010127,10
TESS,0.0003375206666027562,120
TESS,0.00034379282432196257,120
CHEOPS,0.0003452310338998496,10
CHEOPS,0.0003468872921072835,10
CHEOPS,0.00036190189787455094,10
CHEOPS,0.0003635602303048818,10
TESS,0.0003662516945851993,120
CHEOPS,0.000378574434609653,10
TESS,0.00037902247189062333,120
CHEOPS,0.0003802314288316633,10
TESS,0.00038034713441593456,120
CHEOPS,0.00039524710516558717,10
CHEOPS,0.00039690423320842946,10
CHEOPS,0.0004119179691402885,10
CHEOPS,0.00041357717140602776,10
TESS,0.00042020169163919707,120
CHEOPS,0.0004285904389649746,10
CHEOPS,0.00043024836993280926,10
TESS,0.00043700199024975065,120
CHEOPS,0.000445261369850092,10
CHEOPS,0.0004469213081304075,10
CHEOPS,0.00046193390658519405,10
CHEOPS,0.000463592506657189,10
CHEOPS,0.00047860644332029613,10
CHEOPS,0.0004802654448547873,10
TESS,0.0004836263972063724,120
TESS,0.00049320838779589,120
CHEOPS,0.0004952773072949975,10
CHEOPS,0.0004969382492315535,10
TESS,0.0005100680976440718,120
CHEOPS,0.0005119499109405157,10
CHEOPS,0.000513609447758335,10
CHEOPS,0.0005286224476756177,10
CHEOPS,0.000530284058716334,10
TESS,0.0005370908182433251,120
TESS,0.0005433596304417301,120
CHEOPS,0.000545293311650319,10
CHEOPS,0.0005469568630931003,10
CHEOPS,0.0005619658483854212,10
CHEOPS,0.0005636281285302978,10
TESS,0.0005658157573779095,120
TESS,0.000578585263385429,120
CHEOPS,0.0005786383851205233,10
TESS,0.0005799159478481829,120
CHEOPS,0.000580300932907064,10
CHEOPS,0.0005953093160056406,10
CHEOPS,0.0005969739380150783,10
CHEOPS,0.0006119817858303266,10
CHEOPS,0.0006136451365418598,10
TESS,0.0006197759248151439,120
CHEOPS,0.0006286561291466616,10
CHEOPS,0.000630318007829042,10
TESS,0.0006365710713236631,120
CHEOPS,0.0006453269931213629,10
CHEOPS,0.0006469892063558235,10
CHEOPS,0.000661999529856465,10
CHEOPS,0.0006636621445534217,10
CHEOPS,0.0006786703269207503,10
CHEOPS,0.000680335015840604,10
TESS,0.0006831993590844147,120
TESS,0.0006927733204240086,120
CHEOPS,0.0006953429974766844,10
CHEOPS,0.0006970061474569695,10
TESS,0.0007096363088825758,120
CHEOPS,0.0007120154673013705,10
CHEOPS,0.0007136790856545677,10
CHEOPS,0.0007286863981864879,10
CHEOPS,0.00073035195694175,10
TESS,0.0007366611037047261,120
TESS,0.0007429264365614974,120
CHEOPS,0.000745358868011174,10
CHEOPS,0.0007470232223789475,10
CHEOPS,0.000762031471656692,10
CHEOPS,0.0007636960267557138,10
TESS,0.0007653797532602037,120
TESS,0.0007781479879698186,120
CHEOPS,0.0007787023356313934,10
TESS,0.0007794847612804313,120
CHEOPS,0.000780368964953312,10
CHEOPS,0.0007953748723664955,10
CHEOPS,0.0007970401634800934,10
CHEOPS,0.0008120458032516129,10
CHEOPS,0.0008137131016776917,10
TESS,0.0008193502918119227,120
CHEOPS,0.000828718339986715,10
CHEOPS,0.0008303842332940572,10
TESS,0.0008361400854871595,120
CHEOPS,0.0008453909436322331,10
CHEOPS,0.0008470571714916555,10
CHEOPS,0.0008620617406965185,10
CHEOPS,0.0008637300427788377,10
CHEOPS,0.0008787343443420366,10
CHEOPS,0.0008804012413056192,10
TESS,0.0008827723209624569,120
TESS,0.0008923381861417112,120
CHEOPS,0.0008954068810771386,10
CHEOPS,0.0008970758522636183,10
TESS,0.0009092044532106639,120
CHEOPS,0.00091207774505184,10
CHEOPS,0.0009137486566403845,10
CHEOPS,0.0009287502817869421,10
CHEOPS,0.000930419922077582,10
TESS,0.0009362313222557111,120
TESS,0.0009424931757708489,120
CHEOPS,0.0009454228854324602,10
CHEOPS,0.0009470927933647643,10
CHEOPS,0.0009620937494071616,10
CHEOPS,0.0009637640588019618,10
TESS,0.0009649437491424979,120
TESS,0.0009777107794646243,120
CHEOPS,0.0009787678919922483,10
TESS,0.0009790535747126797,120
CHEOPS,0.000980436930089144,10
CHEOPS,0.0009954388228773658,10
CHEOPS,0.0009971097344659101,10
CHEOPS,0.0010121113596124678,10
CHEOPS,0.0010137809999031077,10
TESS,0.0010189245918982854,120
CHEOPS,0.0010287839632579859,10
CHEOPS,0.00103045387119029,10
TESS,0.0010357091665610721,120
CHEOPS,0.0010454547603222712,10
CHEOPS,0.0010471268093878883,10
CHEOPS,0.0010621274308782055,10
CHEOPS,0.0010637979410042537,10
CHEOPS,0.0010787999007028915,10
CHEOPS,0.001080470879201852,10
TESS,0.001082345282840499,120
TESS,0.0010919031187698299,120
CHEOPS,0.0010954708315880088,10
CHEOPS,0.0010971437504890343,10
TESS,0.001108772597538752,120
CHEOPS,0.0011121433014126948,10
CHEOPS,0.0011138150159262317,10
CHEOPS,0.0011288142322978122,10
CHEOPS,0.001130487820302998,10
TESS,0.0011358016077171122,120
TESS,0.0011420600488010323,120
CHEOPS,0.0011454867690329144,10
CHEOPS,0.0011471590857401956,10
CHEOPS,0.0011621593057680164,10
CHEOPS,0.0011638319570273776,10
TESS,0.001164507745024792,120
TESS,0.0011772735709594299,120
TESS,0.001178622388144928,120
CHEOPS,0.0011788302366531338,10
CHEOPS,0.00118050482831456,10
CHEOPS,0.0011955027733882358,10
CHEOPS,0.0011971760268413415,10
CHEOPS,0.001212175310123338,10
CHEOPS,0.0012138489650389396,10
TESS,0.0012184988919846484,120
CHEOPS,0.0012288461071876234,10
CHEOPS,0.001230521836326122,10
TESS,0.0012352782476349846,120
CHEOPS,0.0012455187777435574,10
CHEOPS,0.0012471947076133042,10
CHEOPS,0.0012621913813890757,10
CHEOPS,0.0012638675789004865,10
CHEOPS,0.001278862245363777,10
CHEOPS,0.0012805388443376839,10
TESS,0.0012819182447185414,120
TESS,0.0012914680513979484,120
CHEOPS,0.001295534715188463,10
CHEOPS,0.0012972116487144502,10
TESS,0.001308340808777256,120
CHEOPS,0.001312207318833981,10
CHEOPS,0.0013138845869120484,10
CHEOPS,0.0013288798555690833,10
CHEOPS,0.0013305557854388298,10
TESS,0.001335371826268097,120
TESS,0.0013416268549207998,120
CHEOPS,0.0013455523253937693,10
CHEOPS,0.0013472287236364281,10
CHEOPS,0.0013622233231893027,10
CHEOPS,0.0013639015280131944,10
TESS,0.0013640717409070862,120
TESS,0.0013768363624542355,120
TESS,0.0013781912015771764,120
CHEOPS,0.0013788957930139887,10
CHEOPS,0.001380572793450392,10
CHEOPS,0.0013869818622205177,10
CHEOPS,0.001395568396659507,10
CHEOPS,0.001397245664737574,10
CHEOPS,0.001403652926926467,10
CHEOPS,0.0014122391937237922,10
CHEOPS,0.0014139186029351724,10
TESS,0.0014180731920710112,120
CHEOPS,0.0014203256643928173,10
CHEOPS,0.0014289118642797263,10
CHEOPS,0.001430589801461954,10
TESS,0.001434847328708897,120
CHEOPS,0.0014369984018591673,10
CHEOPS,0.0014455843341044123,10
CHEOPS,0.0014472626058387203,10
CHEOPS,0.001453669466565117,10
CHEOPS,0.0014622552649895299,10
CHEOPS,0.0014639338712759177,10
CHEOPS,0.001470342137121051,10
CHEOPS,0.0014789277348142159,10
CHEOPS,0.001480606809473516,10
TESS,0.0014814911396861675,120
CHEOPS,0.0014870148745874012,10
TESS,0.001491032984026067,120
CHEOPS,0.0014955987326097492,10
CHEOPS,0.0014972796138502823,10
CHEOPS,0.0015036859392933506,10
TESS,0.001507908886194928,120
CHEOPS,0.0015122712693448513,10
CHEOPS,0.0015139508792874797,10
CHEOPS,0.0015203603495201016,10
CHEOPS,0.0015289437391695375,10
CHEOPS,0.001530623750574662,10
TESS,0.0015349420448190821,120
CHEOPS,0.0015370330200760356,10
TESS,0.0015411936610405673,120
CHEOPS,0.0015456146700546548,10
CHEOPS,0.0015472966218618442,10
CHEOPS,0.0015537040847819852,10
CHEOPS,0.0015622872067897569,10
TESS,0.0015636358036997965,120
CHEOPS,0.0015639678872990416,10
CHEOPS,0.0015703767553379192,10
TESS,0.0015763990870386253,120
TESS,0.0015777600150094248,120
CHEOPS,0.0015789597435248589,10
CHEOPS,0.001580640758586224,10
CHEOPS,0.0015870478869542848,10
CHEOPS,0.0015956306074995602,10
CHEOPS,0.0015973153026338069,10
CHEOPS,0.0016037205575102189,10
CHEOPS,0.0016123032111450785,10
CHEOPS,0.0016139865011605885,10
TESS,0.001617647425246958,120
CHEOPS,0.0016203932949765691,10
CHEOPS,0.0016289757478801805,10
CHEOPS,0.0016306593055373545,10
TESS,0.0016344164097828095,120
CHEOPS,0.0016370643596825185,10
CHEOPS,0.0016456466118548818,10
CHEOPS,0.0016473306378849682,10
CHEOPS,0.0016537370971488688,10
CHEOPS,0.0016623192155004,10
CHEOPS,0.0016640034422617344,10
CHEOPS,0.0016704098346152188,10
CHEOPS,0.001678991752235502,10
CHEOPS,0.0016806763804593327,10
TESS,0.0016810641684746257,120
CHEOPS,0.0016870808324107522,10
TESS,0.0016905979166541856,120
CHEOPS,0.0016956642889706041,10
CHEOPS,0.0016973475789861141,10
CHEOPS,0.0017037535698771024,10
TESS,0.0017074770305230162,120
CHEOPS,0.0017123367587952901,10
